Research Activity,"Project Title 
(and link to additional information, if available)",Topic,Agency and Office Name,Country(ies) in which research is/will be conducted,Status,Upcoming Milestones,Anticipated Completion,Brief Description,Project Link
Next Generation Vaccine Research,Next Generation Vaccine Research,Vaccine,NIH/NIAID,Domestic,Ongoing,2022 Q4 Study initiated,2023 Q4,This study includes testing a portfolio of well-characterized novel adjuvants that induce different types of immune responses (Th1/Th2/Th17) to identify the optimal formulations for subunit and mRNA-based mpox vaccines.,
Vaccine efficacy,Assessment of antibody response to mpox vaccine,Vaccine,CDC,Domestic International: DRC,Ongoing,2022 Q4,Duration is 5 years,"In the DRC study, CDC is expanding an ongoing vaccine study to evaluate (a) the persistence of antibodies in study participants who received the booster vaccination (b) administration and evaluation of an intradermal booster vaccination with JYNNEOS in individuals who had previously received the 2 dose series and (c) the occurrence of MPX disease in vaccinated and boosted study participants to inform effectiveness assessments.  

This study will utilize an existing cohort of individuals at high-risk of MPXV infection (healthcare workers) that reside and work in an area where there is enhanced surveillance for human infections with MPXV.    In the USA study, this is a new study to conduct longitudinal surveillance for vaccine effectiveness and immunologic reactogenicity among sexual health clinic patients in Los Angeles in collaboration with UCLA and various partners. The immunogenicity and durability of standard and alternative vaccination regimens remain unknown; furthermore, no prior studies have determined the clinical effectiveness of MPXV vaccination for prevention of MPXV infection and disease within the populations affected by the current outbreak, which is driven primarily by sexual transmission.",
Real World Vaccine Efficacy Study Using VA Data,"Effectiveness of Dryvaxx®, ACAM2000 and JYNNEOS for Preventing Mpox among the VA Population",Vaccine,"VA/VHA, AFHSD/ DHA",Domestic,Initiated,Preparing report; submitting manuscript for publication in a peer-reviewed journal,2023 Q1,"This is an analysis of VA and DoD data to explore the effectiveness of smallpox vaccination for mpox illness prevention on Veterans in VA healthcare. Major experimental aims are toto identify how much immunity wanes: 1) with time since vaccination, and 2) with age, using a test negative case control design. This study will provide a large real-world evaluation and evidence that will define the use of these vaccines in the broader public health strategy for containing the global mpox outbreak. A manuscript was submitted and reviewed at a leading medical journal; reviewers’ questions were answered; journal requested ‘revise and resubmit’ as a letter to the editor. which is in process. Presented results at the Conference on Retroviruses and Opportunistic Infections in Feb 2023.",
Structural Biology Support,"Structural Biology, Computational Modeling and Structure Determination support for the mpox research community
CRSTAL-ID","Vaccine, Therapeutic",NIH/NIAID,Domestic,Ongoing,,2023 Q3,"Determination of high-resolution structures of mpox protein targets is critical as there are virtually no protein structures encoded from the MPOX genome other than computational models. The 2 CRSTAL-ID centers are currently prioritizing from a list of over a hundred targets from mpox Zaire 96-I-16. Ongoing structure determination efforts include work on Poxvirus Immune Evasion (PIE) proteins, the structure of F13L (target of Tecovirimat/ST-246) and DNA dependent RNA polymerase of poxviruses. The centers will also examine additional ligands and receptors, which can be structurally interrogated as complexes and inform the development of novel therapeutics.",
Structural biology studies in support of vaccine and molecular therapeutics development,X-ray crystallography studies at the Advanced Photon Source,"Vaccine, Therapeutic",DOE,Domestic,Ongoing,,,"Most protein structures deposited in the Protein Data Base (PDB) for monkey pox have come from Department of Energy light sources, including the Advanced Photon Source (Argonne), the Advanced Light Source (Lawrence Berkeley) and Stanford Synchrotron Radiation Light Source (SLAC).  In addition, the Advanced Photon Source (ANL) has three on-going studies with users: 1) Harvard Medical School, Dana-Farber Cancer Institute is conducting structural biology research related to how poxviruses evade the host anti-viral immune response and on an unpublished poxvirus protein structure; 2) Scripps Research Institute is working on mpox antigenic proteins; 3) Versiti Blood Research Institute, Medical College of Wisconsin is working mpox virus protein structures. This work will lead to the development of new vaccines and anti-viral drugs. 4) Yogesh Gupta, University of Texas Health Science Center at San Antonio is studying the structures and mechanisms of several proteins of mpox virus.",https://www.anl.gov/article/scientists-follow-the-world-health-organizations-gaze-toward-monkeypox-virus
Structural biology studies in support of vaccine and molecular therapeutics development,X-ray crystallography studies at the Stanford Synchrotron Radiation Lightsource (SSRL),"Vaccine, Therapeutic",DOE,Domestic,Ongoing,,,"Stanford Synchrotron Radiation Light Source at SLAC has a several on-going studies of Poxviridae.  The Division of Cell Biology, La Jolla Institute for Allergy and Immunology have studied the structural aspects of the vaccinia virus and its interaction with various antibodies. Live Vaccinia virus elicits antibodies to smallpox and mpox but does not replicate efficiently in humans. The virus is used to produce the two vaccines currently approved by the CDC for the prevention of mpox.  Crystals of proteins related to mpox virus are being prepared for structural studies to assess this issue.   Other SSRL users are beginning research programs with the goal of therapeutics developments to combat mpox and related poxviridae.  This work will lead to the development of new mpox vaccines and antiviral drugs.",
Drug Safety and Tolerability Study,Study to assess the safety and pharmacokinetics of TPOXX when administered orally for 28 days,Therapeutic,DoD/JPM CBRN Medical,USA,Ongoing,FY2023 Q2: Last Subject Last Visit,2023-12-31T00:00:00.000,"This study is a Phase 3, multicenter, double-blind randomized, placebo-controlled study to assess the safety, tolerability, and pharmacokinetics of oral TPOXX (600 mg) when administered orally for 28 days in adult subjects. A total of 445 - 460 subjects, ages 18 – 80, inclusive, will be enrolled and randomly assigned within stratified age groups (18-30 years, 31-45 years, and 65-80 years) to 1 of 2 treatment groups in an overall randomization of 4:1. Understanding that TPOXX can be administered safely for an extended period of time (28 days) in  adult subjects will help support the CDC EAP for orthopoxvirus treatment.",https://clinicaltrials.gov/ct2/show/NCT04971109
Monoclonal Antibody Discovery,Antibody Discovery for mpox,Therapeutic,NIH/NIAID,Domestic,Ongoing,,Ongoing,NIAID Vaccine Research Center is isolating monoclonal antibodies to be evaluated as therapeutics and diagnostic reagents. These studies will advance potential alternative mpox therapeutics and diagnostics.,
Therapeutic Efficacy Study,"STOMP (Study of Tecovirimat for Human Mpox Virus: A Randomized, Placebo-Controlled, Double-Blinded Trial of the Safety and Efficacy of Tecovirimat for the Treatment of Human Mpox Virus Disease",Therapeutic,NIH/NIAID,"Domestic
International: Peru 
Mexico
Brazil",Ongoing,"Initiated study in September 2022

2023 Q1: Open international sites

2023 Q4: Close to accrual

2023 Q4: Close to follow-up",2023 Q4,"This is a phase 3 double-blind, randomized controlled trial of TPOXX for the treatment of mpox in the outpatient setting in the United States and globally conducted through the AIDS Clinical Trials Group (ACTG).  The study includes an open-label cohort to ensure that certain high-risk populations (e.g., children, pregnant or breastfeeding people, those with severe disease, severe immune suppression, on potent inducing concomitant medications) are not randomized to placebo while also providing a means to collect important data on the safety and pharmacokinetics of TPOXX in this population. People with mpox infection, including people living with HIV, are eligible and encouraged to enroll. 530 volunteer participants will be randomly assigned to receive either tecovirimat or a placebo at a ratio of two to one. Investigators are evaluating if those taking tecovirimat heal more quickly than those taking placebo, among other data points.",https://actgnetwork.org/studies/a5418-study-of-tecovirimat-for-human-monkeypox-virus-stomp/
Therapeutic Efficacy Study,"PALM007: A randomized, placebo-controlled, double-blinded trial of the safety and efficacy of tecovirimat for the treatment of adult and pediatric patients with mpox virus disease in the Democratic Republic of the Congo",Therapeutic,NIH/NIAID,International: DRC,"Ongoing
Q4 2022: 1st site opened",2023 Q1: 2nd site to open,2025 Q3,"This is an in-patient double-bind, randomized, placebo-controlled trial in patients with Clade 1 mpox disease in the Democratic Republic of the Congo. This study will evaluate the clinical efficacy of tecovirimat compared to placebo, as assessed by time to lesion resolution, for patients with mpox disease. This study is supported by NIH/NIAID and the Institut National de Recherche Biomédicale of the Democratic Republic of the Congo (DRC).",
Therapeutic Monoclonal antibody Development,Therapeutic Monoclonal antibody Development,Therapeutic,NIH/NIAID,Domestic,Ongoing,2022 Q4: Study initiated,2023 Q4,"Study includes testing of approximately 6 monoclonal antibodies that broadly neutralize vaccinia virus (VACV), cowpox virus (CPXV), mpox virus (MPV), and variola virus (VARV) to identify optimal monoclonal antibodies combinations (2-3 per combination) that could be used as therapeutics and preventatives. Experiments also planning to include challenge studies in relevant animal models.",
Monoclonal Antibody (mAb) Development Efforts,Generative Unconstrained Intelligent Drug Engineering (GUIDE)/Accelerated Antibodies pan-orthopox prophylaxis,Therapeutic,DOD/JPEO,Domestic,Planning phases,"2023 Q2: GUIDE mAb candidates optimization

  
2023 Q2: mAb development start","2023 Q2: GUIDE mAb candidates optimization completion 

2025 Q1: mAb Phase 1 start","Through the DOD/CBDP/JPEO-CBRND Accelerated Antibodies program, will leverage DARPA Pandemic Prevention Platform (P3) antibody discovery efforts and GUIDE computational optimization of antibodies to further develop and manufacture a prophylactic pan-orthopox cocktail of antibodies. This effort will result in completion of phase 1 clinical trial and generation of cGMP material available to support phase 2 clinical trial and/or emergency use (minimum 5-10K doses).",
Therapeutic Development,"Novel Compound Screening, Lead Identification, Lead Optimization",Therapeutic,NIH/NIAID,Domestic,Ongoing,Screen Novel Compounds for activity against multiple pox viruses and profile active compounds for further development,2023 Q1- 2023 Q3,"USAMRIID and NIAID are collaborating to screen novel compounds for activity against smallpox, mpox, etc. and mechanism of action studies. The objective is to identify antiviral candidates with different mechanisms of action than tecovirimat which could then be used as a combined therapy, or in lieu of it. Further moving compounds in to lead optimization, safety, efficacy, and developmental process using newly developed mouse models and currently in-place NHP animal models.",
Diagnostic Development,"Development of rapid mpox diagnostic tests, including point-of-care and at-home use",Diagnostic,NIH/NIBIB,Domestic,Ongoing,2022 Q4: start EUA-enabling clinical studies,2023 Q1,"Efforts include working with the U.S. Department of Defense, industry, and academic partners to ensure two prototype point-of-care assays meet stringent FDA requirements for Emergency Use Authorization; and evaluation of tests via the Independent Test Assessment Program (ITAP) in partnership with the FDA. Rapid diagnosis of mpox at a healthcare provider’s location will limit spread by immediately starting treatment within minutes.",https://www.nibib.nih.gov/covid-19/radx-tech-program/ITAP
Diagnostics,Orthopox/Variola Virus Diagnostic on Next Generation Diagnostic System,Diagnostic,DOD/JPEO,Domestic,Planning phases,"Contract award by February 28, 2023",Pre-EUA for orthopox and variola by FY24 Q1,"This project is being rescoped due to the expiring Monkeypox Emergency Declaration.  The DOD/JPEO-CBRND will develop an orthopox/variola differential diagnostic test for use on the BioFire FilmArray 2.0 instrument to a level of pre-Emergency Use Authorization (pre-EUA).  The BioFire FilmArray 2.0 instrument is currently fielded to Role 2/3 Combat Care Providers (Army, Navy, Air Force). This effort will result in a test staged for preparedness at level that can be rapidly submitted for Emergency Use Authorization in response to future declared public emergencies for orthopox viruses or biowarfare incidents involving Variola.",
Diagnostic Assay Development,Diagnostic Assay Development,Diagnostic,DTRA JSTO/ USAMRIID,Domestic,Ongoing,"2022 Q3: Evaluate recombinant proteins/peptides. 

2022 Q4: Evaluate commercial constructs.",2023 Q3,Current project with USAMRIID is to develop recombinant proteins and peptides in support of development of a mpox immunoassay on the Magpix instrument. The goal of this project is to identify optimal protein targets for a mpox-specific immunological assay.,
Medical countermeasures,Testing of medical countermeasures within established MPXV animal models,Epidemiology,CDC,USA,Planned (normal long-standing program activity),Continuing Q1 2023,Ongoing,Ongoing studies to determine efficacy of new medical countermeasures (MCM) within characterized MPXV (or other OPXV surrogate) animal models. These studies are necessary to determine how effective an MCM will be at preventing or treating mpox disease within people. CDC has dedicated BSL-3 laboratories for mpox in vivo work. The program has a long-standing history performing these animal studies to progress orthopoxvirus MCM development.,
Diagnostic Assay Development,Diagnostic Assay Development,Diagnostic,DTRA/JSTO/ USAMRIID,Domestic,Completed,"MPXV-specific, real-time PCR assay",N/A,"USAMRIID developed a mpox virus-specific, real-time PCR assay validated to meet accreditation and regulatory compliance for a laboratory-developed test (LDT) available to DOD sites. The Defense Health Agency (DHA) announced the availability of this assay for clinical use effective June 27, 2022. USAMRIID is pursuing Emergency Use Authorization (EUA) for the assay. This assay provides an expedited, mpox-virus specific diagnostic result to Department of Defense laboratories and helps address patient concerns over lack of a definitive diagnosis when using the non-variola pan-orthopox assay.",
Enhanced Diagnostics/Detection,Development of an expeditionary sequencing and PCR assay development pipeline/diagnostic test,Diagnostic,"NMRC, NRL, DARPA, DTRA, JSTO",Domestic,Ongoing,"Oct 2022:  Software component - Obtain additional funding to move past successfully completed beta version;

Oct/Nov 2022: Follow-on successful proof on concept experiments with testing of viral, bacterial, and fungal pathogens and mixed sample types.","Software Development Completion:  May 2023; Estimated Project completion:  Late 2023

Diagnostic Test Validation Completed and Active","Project focused on developing an expeditionary on-demand PCR assay development pipeline and field sequencing for a variety of viral, bacterial, and fungal pathogens.  The goal is to establish a pipeline for use with any pathogen, which would have direct relevance to the rapid, on-demand development of mpox PCR assays and sequencing capabilities in field environments.

Naval Infectious Disease Diagnostic Laboratory (NIDDL) at NMRC is currently performing the CDC Non-variola Orthopoxvirus Real-time PCR Assay as part of the LRN. Results of this assay confirms identification of non-variola orthopoxvirus DNA, including mpox virus and is available to all DoD personnel.",
Laboratory Safety,Inactivation validation for Biological Select Agents and Toxins (BSAT) viral agents (to include poxviridae),Lab Safety,USAMRIID,Domestic,Ongoing,Validation of relevant clinical matrices to include poxviridae,2022 Q4,"USAMRIID is validating Trizol for multiple Biological Select Agents and Toxins (BSAT) agents to include members of the poxviridae family, including mpox. Validations are focused on Trizol LS to enable polymerase chain reaction (PCR) and next generation sequencing (NGS) assays outside of containment on inactivated samples. Validation inactivation protocols will ensure BSAT and non-BSAT inactivated poxviridae samples can be safely moved out of containment for further studies.",
Observational Study,"Observational studies to understand epidemiological characteristics, changing demographics over time, clinical course of illness, novel transmission routes, and transmission dynamics",Epidemiology,CDC,Domestic,Ongoing; case form data analyzed weekly; serosurveys in select communities underway,"2022 Q3: Complete sample collection 

2022 Q4: Results from serologies studies complete;

2023 Q1: Publish results of investigating cases reported in special populations; collecting data for in-depth exposure assessment among mpox cases with no reported male-male sexual contact in select health departments",2022 Q4,"CDC will investigate cases reported in special populations and with novel transmission routes by collecting and analyzing case report form data; investigate unusual cases (e.g., pediatrics, women, pregnant people); solicitation of electronic health care data resources to monitor health care utilization, and collection of additional exposure data in cases of mpox with no reported male-male sexual contact. These studies allow investigators to understand who is at risk for infection, how the virus is being transmitted, whether the outbreak is slowing or gaining momentum, and importantly, where interventions are likely to have the greatest impact in halting the spread of the virus. Case report form data are being analyzed weekly.",
Observational Study,Two retrospective seroprevalence surveys in the United States,Epidemiology,CDC,Domestic,"Ongoing laboratory work is complete, analysis ongoing",2023 Q2: Complete laboratory testing and publish results,2023 Q2,Investigate mpox virus infection occurring in the U.S. prior to earliest cases detected.  CDC will assess the prevalence of poxvirus antibodies retrospectively in serum collected during two different studies in select communities. The two studies are MWCCS (form Johns Hopkins University) and Doxy PEAP (from University of Washington). The testing of initial time points are completed. Testing for additional samples are ongoing.,
Serologic assay development,High-throughput serologic assay to distinguish between prior mpox infection and prior receipt of vaccinia-based vaccine,Epidemiology,NIH/NIAID,Domestic,Ongoing,,Ongoing,"NIAID scientists from the PREMISE initiative at the Vaccine Research Center (VRC) are developing a high throughput serologic assay that can distinguish between individuals who have been infected with mpox versus individuals who may have received a vaccinia-based vaccine, such as JYNNEOS or ACAM2000.  NIAID will use this approach in collaboration with national and international researchers, including the Centers for Disease Control and Prevention to conduct retrospective and prospective serological studies to better understand the extent of mpox virus circulation in the United States and worldwide.",https://www.niaid.nih.gov/research/premise
Virulence Potential Study,Evaluating the virulence of contemporary isolates with historical isolates,Epidemiology,NIH/NIAID,Domestic,Ongoing,"2023 Q1: Results published. Americo, J. L., et al. (2023). ""Virulence differences of mpox (monkeypox) virus clades I, IIa, and IIb.1 in a small animal model."" Proc Natl Acad Sci U S A 120(8): e2220415120.",2022 Q4,This study compares virulence of the 2022 mpox strains compared to historical West African isolates. This research will deepen knowledge of the virulence of different mpox virus clades and will investigate the genetic contributions to those differences.,
Transmission Study,Exploration of fomite and aerosol survival and spread,Epidemiology,NIH/NIAID,Domestic,Ongoing,2022 Q3: Results expected manuscript in progress,2022 Q3,"Efforts include survival of mpox virus on fomites and in aerosols, and establishment of small animal models to study transmission dynamics. Data from these studies will inform infection prevention and control efforts in the US and globally.",
Human-Animal Interface Study,"CDC diagnostic laboratory support for mpox in animals for state and local jurisdictions to test submitted animal samples, both domestic and wildlife, for mpox and monitoring suspected and confirmed animal cases",Epidemiology,CDC,Domestic,Ongoing,2023 Q1: Complete laboratory testing,Ongoing throughout the outbreak,"Animals, both domestic and wildlife, with clinical signs of mpox are sampled by state and local jurisdictions. CDC experts are available to support jurisdictions in collecting animal samples and conducting One Health investigations upon invitation. Animal samples are submitted to CDC for diagnostics. This line of study will support our understanding of the potential of mpox to spread zoonotically in the United States, a circumstance that could prolong the outbreak and diminish the likelihood of eradicating the infection.",
Human-Animal Environment Study,Assessing mpox infections in animals associated with human cases,Epidemiology,CDC,Domestic,Ongoing,"2023 Q1-Q2:
Complete study; publish results",Ongoing during the outbreak,"CDC is leading a One Health study to assess mpox infections in animals in households with human mpox cases.  Animals, including pets, with and without clinical signs are sampled from the homes of people isolating with mpox. Laboratory diagnostics for animal and environmental samples are conducted at CDC and results are provided to jurisdictions. One Health teams of local, state, and federal partners discuss next steps and recommendations to protect health. A questionnaire is administered to examine close contact between humans and animals, assess the environment and animal husbandry, and to assess risk factors for animal infections. This study will help identify susceptible animal species in the US and will help prevent the establishment of new animal reservoirs for mpox. 

This line of study will support our understanding of the potential of Mpox to spread zoonotically in the United States, a circumstance that could prolong the outbreak and diminish the likelihood of eradicating the infection.

Manuscript has been written and completed CDC clearance.  Will be submitted for publication in 23 Q2",
Human-Animal Environment Study,Ecological studies,Epidemiology,NIH/NIAID,International: Republic of Congo (RoC); Ghana,Ongoing,,,NIH has been conducting ecological studies in Africa to understand spillover events. Data from this study will inform efforts to prevent and control future spillover of mpox in Western and Central Africa.,
Serologic assay development and serosurvey,Developing high throughput serologic assays to understand magnitude of spillover in African sites,Epidemiology,NIH/NIAID,"International: Mali, Ghana, Republic of the Congo and Cambodia",Ongoing,"2022 Q4 team to Ghana
Manuscript published
Fischer RJ, Gallogly S, Evaluation of Five Buffers for Inactivation of Mpox Virus and Feasibility of Virus Detection Using the Panther Fusion® Open Access System. Viruses. 2022 Oct 10;14(10):2227. doi: 10.3390/v14102227. PMID: 36298782; PMCID: PMC9610623.",,"The assays under development will allow us to determine a history of mpox infection in people, and to distinguish between individuals who have been infected with a poxvirus and individuals who were vaccinated against smallpox. Will collaborate with Orasure on a rapid test. Data from this study will inform more accurate estimates of the prevalence of mpox spillover and transmission in Western and Central Africa, and will lead to the development of a diagnostic tool that could be used in future clinical studies of the immune response to mpox infection and vaccination.",
Clinical Specimen Study,Novel specimen validation,Epidemiology,CDC,Domestic,Complete. Manuscript has been published,"2023 Q1: Publish results for visit 1

2023 Q3: Publish results for subsequence visits",2023 Q1,"This is a study in collaboration with DC Health department to evaluate the presence of mpox DNA in throat, rectal, and blood specimens collected from individuals at risk for mpox but without lesions to inform potential use in diagnostic testing. This study will accelerate early, accurate detection of infection, and help to prevent ongoing transmission by potentially but expanding the range of specimen types that are approved for diagnostic purposes. The study has concluded, and results published.  Another manuscript is currently being drafted. .",https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciad145/7076896
Molecular Epidemiology Study,Genomic surveillance to monitor viral evolution and antiviral resistance,Epidemiology,CDC,Domestic,Ongoing,"2022 Q3: publish 100 US mpox virus genomes

2022 Q4: published article",Ongoing,"This study will monitor mpox virus lineages and mutations, especially tracking changes that could affect diagnostic testing or effectiveness of treatment (TPOXX). This study involves sequencing mpox virus from confirmed cases at CDC, monitoring mpox virus sequences produced by other groups found in public databases, and consulting with academic and state partners on mpox virus sequencing approaches, interpretations, and findings. If sequence changes are observed in the viral target of TPOXX, CDC will conduct laboratory testing to confirm the viral isolate remains sensitive to the therapeutic. This study will track genomic mutations that could signal changes in transmission or susceptibility to TPOXX, which would then impact mitigation efforts.",https://doi.org/10.1126/science.add4153
Serological Assay Development,Multiplex Serological Assay to Distinguish mpox from other orthopoxviruses (CREID Network Supported),Epidemiology,NIH/NIAID,Domestic and International,Ongoing,Preliminary specificity for mpox appears to be 85%,2023 Q2,"Scientists from the Centers for Research in Emerging Infectious Diseases (CREID) Network are developing multiplex serologic assays that can distinguish between mpox and other common orthopoxviruses for use with both animal and human specimens. Pending the results, the assay will be made available to the scientific community to facilitate seroprevalence studies in endemic regions.",
Observational Study,"Seroprevalence and Risk Factors of Mpox virus Infection Among Adults in Nigeria:  A Cross-sectional Exploration of the Implication for Mpox Epidemiology, Transmission, and Surveillance in Africa",Epidemiology,DHA/WRAIR,International: West Africa,Ongoing,"2023 Q1: Complete study documentation and
IRB submission and approval, validate MSD serology assay",2023 Q3,The prospective seroprevalence and risk factor mpox virus infection study aims to fill gaps in in resolving the key parameters of human vulnerability to emerging infectious diseases; from clinical diagnosis and molecular detection of mpox in humans to evaluating potential zoonotic reservoirs and transmission routes. Collected samples will serve as a starting point to better understand biomarkers of infections and transmission.,
Observational Study,Mpox disease burden and associated predictors in international at-risk populations,Epidemiology,DHA/WRAIR,"International: West Africa, Thailand, and Europe",Ongoing,"2023 Q1: Complete study documentation and
IRB submission and approval, validate MSD serology assay",2023 Q3,"This prospective and retrospective study will characterization of mpox infection, epidemiology, transmission, and clinical presentation in context of global outbreaks; leverage enhanced diagnostic approaches to inform knowledge products for prevention / risk mitigation strategies.",
Mpox serological assay development,Develop a mpox virus-specific serologic assay,Epidemiology,CDC,USA,Ongoing,Beginning Q4 2022,TBD,"Development of a mpox virus specific serology assay that can be universally used for both humans and animals will allow for the identification of infections following recovery from disease.  This will aid in the identification of animals that have been previously infected with mpox virus and provide data about which species may serve as hosts. Partner: CDC Division of Scientific Resources, USDA. The study is ongoing.",
